"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 10.08.2023 г.
",,,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,,
,,,,,,,,,,,
№ по ред,Училище,,Паралелка,,Брой паралелки,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,,
96,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",1354,"Математически - АЕ интензивно, ИЕ",1,316.5,0,316.5,351,0,351
97,2220029,"29. Средно училище ""Кузман Шапкарев""",2408,Софтуерни и хардуерни науки - АЕ интензивно,1,316,316,0,316,316,0
98,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2272,"Чужди езици - РЕ интензивно, АЕ",2,315.5,315.5,363,379,324.5,379
99,2202002,"2 Средно училище ""Академик Емилиян Станев """,0958,"Чужди езици - АЕ интензивно, ИЕ, БЗО и ХООС",1,315.5,0,315.5,315.5,0,315.5
100,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4290,"Театрален, кино и телевизионен декор - АЕ",0.5,315.5,0,315.5,359.5,0,359.5
101,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2372,"Промишлена електроника - АЕ, НЕ",1,315.25,315.25,0,315.25,315.25,0
102,2202002,"2 Средно училище ""Академик Емилиян Станев """,0951,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,315,0,315,315,0,315
103,2209036,"36 Средно училище ""Максим Горки""",0778,"Чужди езици - ИтЕ интензивно, АЕ",1,315,315,0,315,315,0
104,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0743,Приложно програмиране - АЕ,1,314.5,314.5,0,314.5,314.5,0
105,2216423,СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТУРИЗЪМ,1285,Организация на хотелиерството - АЕ,1,314.5,0,314.5,314.5,0,314.5
106,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",0906,"Предприемачески - АЕ интензивно, ИЕ",1,314,0,314,314,0,314
107,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",3676,"Предприемачески - ИЕ интензивно, АЕ",1,314,314,0,314,314,0
108,2212097,"97 Средно училище ""Братя Миладинови""",3037,Търговия (дуална) - НЕ разширено,1,312.5,312.5,0,312.5,312.5,0
109,2207108,"108 Средно училище ""Никола Беловеждов""",1852,"Предприемачески - АЕ интензивно, РЕ",1,309,0,309,309,0,309
110,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0930,"Предприемачески - АЕ, ИтЕ",1,307.5,307.5,314.5,314.5,307.5,314.5
111,2209132,"132. Средно училище ""Ваня Войнова""",0424,"Спортни-туристически дейности - помощник-инструктор АЕ,РЕ",1,307,0,307,307,0,307
112,2204403,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕКСТИЛНИ И КОЖЕНИ ИЗДЕЛИЯ,4274,Организация и технология на козметичните услуги,1,306.25,0,306.25,306.25,0,306.25
113,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2532,"Софтуерни и хардуерни науки - АЕ интензивно, ИтЕ",1,306,0,306,306,0,306
114,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1557,Природни науки - АЕ интензивно,1,305,305,0,345,345,0
115,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",4292,"Художествено осветление за театър, кино и телевизия - АЕ",0.5,304.75,304.75,0,304.75,304.75,0
116,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0939,"Икономическо развитие - АЕ, ИтЕ",1,300.5,300.5,305.5,305.5,304.5,305.5
117,2213081,"81. Средно училище ""Виктор Юго""",2579,Хуманитарни науки,1,300.5,300.5,303,318,300.5,318
118,2213118,"118 Средно училище ""Академик Людмил Стоянов""",4462,"Софтуерни и хардуерни науки - АЕ интензивно, ФЕ",1,298.5,298.5,0,298.5,298.5,0
119,2220029,"29. Средно училище ""Кузман Шапкарев""",3515,Софтуерни и хардуерни науки,1,297.5,297.5,0,297.5,297.5,0
120,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0491,"Конструиране, моделиране и технология на облекло от текстил - АЕ, ФЕ",1,297,0,297,297,0,297
121,2213010,"10 Средно училище "" Теодор Траянов """,2101,"Обществени науки - АЕ, ИЕ",1,296.5,299.5,296.5,336.75,299.5,336.75
122,2219095,"95 СУ ""Проф. Иван Шишманов""",2354,Чужди езици - АЕ интензивно; РЕ,1,296,0,296,296,0,296
123,2224047,"47 Средно училище ""Христо Груев Данов""",0515,"Предприемачески - АЕ интензивно, НЕ",1,295.5,295.5,318,324.5,324.5,318
124,2212097,"97 Средно училище ""Братя Миладинови""",2512,Търговия (дуална) - АЕ разширено,1,295.5,295.5,0,295.5,295.5,0
125,2224121,"121 СРЕДНО УЧИЛИЩЕ ""ГЕОРГИ ИЗМИРЛИЕВ""",2642,Предприемачески - АЕ,1,295,295,0,295,295,0
126,2212303,"33. Езикова гимназия ""Света София""",2778,"Чужди езици - ФЕ интензивно, АЕ",1,295,0,295,299.5,0,299.5
127,2203074,"74 СУ ""ГОЦЕ ДЕЛЧЕВ""",1777,"Природни науки - АЕ интензивно, РЕ",1,295,0,295,295,0,295
128,2219044,"44. Средно училище ""Неофит Бозвели""",1538,"Софтуерни и хардуерни науки - НЕ интензивно, АЕ",1,293.5,293.5,0,293.5,293.5,0
129,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0321,"Кинотехника, аудио- и видеосистеми - АЕ",1,293.5,293.5,0,293.5,293.5,0
