СПРАВКА,,,,,
за минималния и максималния бал по паралелки,,,,,
в РУО СОФИЯ-ГРАД,,,,,
Към дата 29.07.2020,,,,,
,,,,,
№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
221.  ,"2202026  26 СУ ""Йордан Йовков""",0965  Софтуерни и хардуерни науки - АЕ интензивно,185,369.5,без квоти
222.  ,"2220014  14 СУ ""Проф. д-р А. Златаров",1312  Обществени науки - АЕ,184,360.25,без квоти
223.  ,2212097  97 СУ,2512  Търговия на едро и дребно - АЕ интензивно,179,179,без квоти
224.  ,2212090  90 СУ,1390  Природни науки - АЕ,178.5,249,без квоти
225.  ,"2207108  108 СУ ""Н.Беловеждов""",1896  Предприемачески  - АЕ,178,313,без квоти
226.  ,"2215170  170 СУ ""Васил Левски""",2971  Предприемачески - АЕ,177,235.25,без квоти
227.  ,"2205408  СПГ ""Княгиня Евдокия""",2842  Извършване на термални процедури - АЕ (дуална),176,220,без квоти
228.  ,"2203074  74 СУ ""Гоце Делчев""",1771  Софтуерни и хардуерни науки - АЕ интензивно,176,209,без квоти
229.  ,"2206003  3 СУ ""МАРИН ДРИНОВ""",2914  Графичен дизайн - АЕ,174.5,280.5,без квоти
230.  ,2206411  ПГХВТ,0448  Производство на захар и захарни изделия -АЕ,174,321.25,без квоти
