СПРАВКА,,,,,
за минималния и максималния бал по паралелки,,,,,
в РУО СОФИЯ-ГРАД,,,,,
Към дата 20.07.2020 г.,,,,,
,,,,,
№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
201.  ,"2213081  81. СУ ""Виктор Юго""",2579  Хуманитарни науки,270.25,339.5,без квоти
202.  ,"2221157  157 ГИЧЕ ""Сесар Вайехо""",1023  Чужди езици - ИЕ интензивно,269.5,429.5,без квоти
203.  ,"2213144  144 СУ ""Народни будители""",1142  Български танци - АЕ,264.3,382.75,без квоти
204.  ,"2212303  33 ЕГ ""СВЕТА СОФИЯ""",2778  Чужди езици - ФЕ интензивно АЕ,263,382.5,без квоти
205.  ,2216423  СПГТ,1285  Организация на хотелиерството - АЕ,263,324.5,без квоти
206.  ,"2221430  ПГТ  ""МАКГАХАН""",2212  Спедиция транспортна и складова логистика - АЕ (дуална),261.5,261.5,без квоти
207.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0324  Очна оптика - АЕ,260,412,без квоти
208.  ,"2209132  132. СУ ""Ваня Войнова""",0423  Софтуерни и хардуерни науки - АЕ,257.75,369.5,без квоти
209.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0325  Лазерна и оптична техника - АЕ,257.5,300,без квоти
210.  ,2211417  ПГО,0472  Бутикови облекла - ИтЕ,254.5,368,без квоти
211.  ,2223431  ПГ по телекомуникации,0660  Телекомуникационни системи - АЕ,254.5,316.75,без квоти
212.  ,"2213128  128 СУ ""Алберт Айнщайн""",1660  Софтуерни и хардуерни науки - АЕ,254,393,без квоти
213.  ,"2202401  Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909  Технологичен и микробиологичен контрол в химични производства - лаборант,253.5,298.5,без квоти
214.  ,"2221023  23 СУ ""Фредерик Ж.-Кюри""",0930  Предприемачески - АЕ,252.5,297.5,без квоти
215.  ,2212097  97 СУ,2506  Софтуерни и хардуерни науки - АЕ интензивно,252,357,без квоти
216.  ,"2211021  21 СУ ""ХРИСТО БОТЕВ""",0906  Предприемачески - АЕ интензивно,250,337,без квоти
217.  ,2208413  СГХСТ,0563  Декорация на сладкарски изделия - АЕ,248.5,251.5,без квоти
218.  ,"2221023  23 СУ ""Фредерик Ж.-Кюри""",0939  Икономическо развитие - АЕ,247,389.5,без квоти
219.  ,2216423  СПГТ,1287  Екскурзоводско обслужване - АЕ,243.5,389,без квоти
220.  ,"2221093  93 СУ ""Ал. Теодоров - Балан""",2878  Обществени науки - АЕ интензивно,241.5,348.5,без квоти
221.  ,"2206410  ПГАВТ  ""А.С.ПОПОВ""",2763  Компютърна техника и технологии - АЕ,240.75,319.75,без квоти
222.  ,"2204402  НПГПТО ""М.В.Ломоносов""",0319  Измервателна и организационна техника - АЕ,238,297,без квоти
223.  ,"2219130  130 СУ ""Стефан Караджа""",2236  Продавач-консултант,236.5,237,без квоти
224.  ,2211417  ПГО,0505  Сценичен костюм - АЕ,235,300,без квоти
225.  ,"2213081  81. СУ ""Виктор Юго""",2566  Чужди езици - АЕ интензивно,234,346.5,без квоти
226.  ,"2202401  Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0874  Технология на фармацевтичните и парфюмерийно-козметични продукти - АЕ,233.5,399.5,без квоти
227.  ,"2209036  36 СУ ""Максим Горки""",0784  Чужди езици - АЕ,233.5,334,без квоти
228.  ,2213118  118 СУ,2943  Софтуерни и хардуерни науки - АЕ интензивно,233.5,326,без квоти
229.  ,2223431  ПГ по телекомуникации,0746  Икономическа информатика - АЕ,233,300.75,без квоти
