"№
по
ред",Район,Училище,Паралелка,Код,Тип,"Места:
общо/
мъже/
жени",Балообразуване
107,Искър,"ПГ ПО ТРАНСПОРТ,
ГР.СОФИЯ",Автомобилна мехатроника - АЕ,1677,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
108,Искър,"ПГ ПО ТРАНСПОРТ,
ГР.СОФИЯ",Автотранспортна техника - монтьор,1684,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
109,Красна поляна,"17 СУ ""Дамян Груев"",
ГР.СОФИЯ",Чужди езици - ФЕ интензивно,2371,профилирана,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ЧЕз)
110,Красна поляна,"17 СУ ""Дамян Груев"",
ГР.СОФИЯ",Туристическа анимация - ФЕ интензивно,2379,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * ГИ + 1 * ЧЕз)
111,Красна поляна,"28 СУ ""А. Константинов"",
ГР.СОФИЯ","Софтуерни и хардуерни науки - АЕ
интензивно",372,профилирана,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * М + 1 * ФА)
112,Красна поляна,"28 СУ ""А. Константинов"",
ГР.СОФИЯ",Физическо възпитание и спорт - АЕ,374,профилирана,26/-/-,"(1 * БЕЛ + 1 * МАТ + 2 * СПО) + (1 * БЗО
+ 1 * ЧЕз)"
113,Красна поляна,"123 СУ ""Стефан Стамболов,
ГР.СОФИЯ",Логистика на товари и услуги,631,професионална,52/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ИТ)
114,Красна поляна,"135 СУ, ГР.СОФИЯ","Социална работа с деца и семейства в
риск - АЕ",2783,професионална,26/-/-,(2 * БЕЛ + 2 * МАТ) + (1 * БЕЛ + 1 * М)
115,Красна поляна,"СГХСТ, ГР.СОФИЯ","Производство на хляб хлебни и сладкарски
изделия - АЕ",547,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * БЗО)
116,Красна поляна,"СГХСТ, ГР.СОФИЯ",Декорация на сладкарски изделия - АЕ,563,професионална,26/-/-,(3 * БЕЛ + 1 * МАТ) + (1 * БЕЛ + 1 * ИИ)
