"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 07.08.2024 г.",,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,
,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
110,2204018,"18 Средно училище ""Уилям Гладстон""",1637,"Чужди езици - АрЕ интензивно, АЕ",340,0,340,353,0,353
111,2224047,"47 Средно училище ""Христо Груев Данов""",0515,"Предприемачески - АЕ интензивно, НЕ",340,0,340,340,0,340
112,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",1354,"Математически - АЕ интензивно, ИЕ",339,339,358,358,339,358
113,2209036,"36 Средно училище ""Максим Горки""",0778,"Чужди езици - ИтЕ интензивно, АЕ",338,0,338,338,0,338
114,2206003,"3. СУ ""Марин Дринов""",4019,Фотография,336.5,0,336.5,357.25,0,357.25
115,2224047,"47 Средно училище ""Христо Груев Данов""",4439,"Предприемачески - АЕ разширено, ИЕ",335.5,0,335.5,335.5,0,335.5
116,2220029,"29. Средно училище ""Кузман Шапкарев""",2408,Софтуерни и хардуерни науки - АЕ интензивно,333.75,0,333.75,333.75,0,333.75
117,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2910,"Предприемачески - АЕ интензивно, ИЕ или НЕ",332,0,332,332,0,332
118,2213128,"128 СРЕДНО УЧИЛИЩЕ ""АЛБЕРТ АЙНЩАЙН""",1660,Софтуерни и хардуерни науки - АЕ,331.5,331.5,0,331.5,331.5,0
119,2209132,"132. Средно училище ""Ваня Войнова""",0424,Помощник-инструктор по спортно туристическа дейност - АЕ,331,331,0,331,331,0
120,2220014,"14. средно училище ""Проф. д-р Асен Златаров""",1312,"Обществени науки - АЕ, РЕ",330.5,330.5,0,330.5,330.5,0
121,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2840,Икономическо информационно осигуряване - АЕ,329.5,329.5,0,329.5,329.5,0
122,2204311,"Профилирана гимназия с интензивно изучаване на румънски език ""МИХАЙ ЕМИНЕСКУ""",2935,"Чужди езици - ИЕ интензивно, АЕ",329.25,329.25,342,359.25,359.25,342
123,2214054,"54. СРЕДНО УЧИЛИЩЕ ""Свети ИВАН РИЛСКИ""",4040,"Чужди езици - АЕ интензивно, НЕ",329,329,0,329,329,0
