"СВОБОДНИ МЕСТА ЗА ЧЕТВЪРТИ ЕТАП НА КЛАСИРАНЕ ПО ПАРАЛЕЛКИ С КОДОВЕ ПО УЧИЛИЩА, 
ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2024/ 2025 ГОДИНА ",,,,,,,,,
"Забележки: 
- Оцветените в синьо паралелки са с прием по квоти!!!
- Паралелките на сив фон са без свободни места
- За паралелките с профил ""Физическо възпитание и спорт"" в 28. СУ и 132. СУ документи се подават  в конкретното училище",,,,,,,,,
№,Училище,,Паралелка,,"Брой 
паралелки",Свободни места,,,
,Код,Име,Код,Име,,Общо,Мъже,Жени,
,,,,,,,,,
116,2207069,"69 Средно училище ""Димитър Маринов""",0887,"Икономическо развитие - АЕ, НЕ",1,8,-,-,
117,2207108,"108 Средно училище ""Никола Беловеждов""",1852,"Предприемачески - АЕ интензивно, РЕ",1,0,-,-,
118,2207108,"108 Средно училище ""Никола Беловеждов""",3675,"Икономическа информатика - АЕ интензивно, НЕ",1,0,-,-,
119,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1656,"Митническа и данъчна администрация - АЕ, ИЕ",1,2,-,-,
120,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1665,"Спедиция транспортна и складова логистика - АЕ, НЕ",1,6,-,-,
121,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1677,"Автомобилна мехатроника - АЕ, НЕ",1,1,-,-,
122,2207412,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТРАНСПОРТ,1684,Автотранспортна техника - монтьор,1,10,-,-,
123,2208017,"17 СУ ""Дамян Груев""",2379,Туристическа анимация - /ФЕ/,1,14,-,-,
124,2208028,"28 Средно училище ""Алеко Константинов""",0372,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",1,0,-,-,
125,2208028,"28 Средно училище ""Алеко Константинов""",4126,"Електронна търговия - АЕ интензивно, ИЕ",1,11,-,-,
126,2208123,"123 Средно училищe ""Стефан Стамболов""",0631,Логистика на товари и услуги,1,5,-,-,
127,2208123,"123 Средно училищe ""Стефан Стамболов""",4004,Обществени науки,1,8,-,-,
128,2208135,"135 средно училище ""Ян Амос Коменски""",2783,Социална работа с деца и семейства в риск - АЕ,1,1,-,-,
129,2208413,Софийска гимназия по хлебни и сладкарски технологии,0547,"Производство на хляб хлебни и сладкарски изделия - АЕ, НЕ",1,0,-,-,
130,2208413,Софийска гимназия по хлебни и сладкарски технологии,0563,Декорация на сладкарски изделия - АЕ,1,1,-,-,
131,2208413,Софийска гимназия по хлебни и сладкарски технологии,0568,Кетъринг - АЕ,1,26,-,-,
