"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 12.07.2024 г.",,,,,,,,,,
,Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,
,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
112,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",4402,"Математически - ИЕ интензивно, АЕ",378.75,381.5,378.75,454.75,430.5,454.75
113,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0738,Системно програмиране - АЕ,378.75,378.75,380.5,463,463,394
114,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1364,"Природни науки - АЕ интензивно, ИЕ",378,378,378,453,431,453
115,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1526,Природни науки - АЕ интензивно,377.5,380.5,377.5,441.5,417,441.5
116,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2456,"Чужди езици - ЯЕ интензивно, АЕ",377.5,378.75,377.5,475.5,429.25,475.5
117,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1296,Рекламна графика - АЕ,376.75,376.75,418.25,443.75,400.5,443.75
118,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3603,Икономическа информатика - НЕ,376,376,377,402.5,402.5,394.5
119,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0777,"Оперативно счетоводство - РЕ интензивно, АЕ",375.5,375.5,382,414,400,414
120,2204018,"18 Средно училище ""Уилям Гладстон""",1642,"Чужди езици - КитЕ интензивно, АЕ",374.5,375.5,374.5,439.5,427,439.5
121,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1532,Чужди езици - РЕ интензивно,373.25,373.75,373.25,451,410.25,451
122,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",4079,Икономическо развитие - АЕ интензивно,373,373.5,373,439.5,418.5,439.5
123,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",3148,"Предприемачески - ИЕ интензивно, АЕ",373,373,373.5,425.5,425.5,423.5
