"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 29.07.2022 г.
",,,,,,,,,,
Забележка: Оцветените в зелено паралелки са с прием по квоти!!!,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
100,2209019,"19 СРЕДНО УЧИЛИЩЕ ""ЕЛИН ПЕЛИН""",3945,Предприемачески - АЕ интензивно/ ДатЕ,336.5,339,336.5,350,350,336.5
101,2204018,"18 Средно училище ""Уилям Гладстон""",1642,Чужди езици - КитЕ интензивно,336,336,347,347,336,347
102,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2532,"Софтуерни и хардуерни науки - АЕ интензивно, ИтЕ",334.5,336,334.5,337.5,336,337.5
103,2204018,"18 Средно училище ""Уилям Гладстон""",1647,Чужди езици - КорЕ интензивно,334.5,0,334.5,340,0,340
104,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",2876,"Обществени науки - РЕ интензивно, АЕ",333.75,333.75,338.25,338.25,333.75,338.25
105,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0916,"Чужди езици - ИтЕ интензивно, АЕ",332.5,333,332.5,370.25,370.25,369.75
106,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",1354,"Математически - АЕ интензивно, ИЕ",332,332,0,337.5,337.5,0
107,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2907,"Чужди езици - АЕ интензивно, ИЕ/РЕ",331,333.25,331,353.5,333.25,353.5
108,2207108,"108 Средно училище ""Никола Беловеждов""",1852,"Предприемачески - АЕ интензивно, РЕ",330.75,0,330.75,330.75,0,330.75
109,2220029,"29. Средно училище ""Кузман Шапкарев""",2408,Софтуерни и хардуерни науки - АЕ интензивно,329.75,0,329.75,356.5,0,356.5
110,2204018,"18 Средно училище ""Уилям Гладстон""",1637,Чужди езици - АрЕ интензивно,328.5,0,328.5,328.5,0,328.5
111,2209305,"203 Профилирана езикова гимназия ""Свети Методий""",2904,"Чужди езици - АЕ интензивно, НЕ/РЕ",328.5,328.5,0,399.5,399.5,0
112,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0321,"Кинотехника, аудио- и видеосистеми - АЕ",326,326,337,337,329.5,337
113,2220308,"Профилирана гимназия за изобразителни изкуства ""Професор Николай Райнов""",4092,Компютърна графика - АЕ,325.25,341.5,325.25,341.5,341.5,325.25
114,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0325,Лазерна и оптична техника - АЕ,324,324,0,325,325,0
115,2212097,"97 Средно училище ""Братя Миладинови""",3037,Предприемачески - АЕ,323.75,323.75,361.5,447.5,447.5,361.5
116,2211021,"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ""",3676,"Предприемачески - ИЕ интензивно, АЕ",323,323,324.5,324.5,323,324.5
117,2205408,"Софийска професионална гимназия ""Княгиня Евдокия""",2845,Козметика,322.5,0,322.5,322.5,0,322.5
118,2212097,"97 Средно училище ""Братя Миладинови""",2512,"Търговия (дуална) - АЕ, НЕ",321.5,321.5,0,321.5,321.5,0
119,2209132,"132. Средно училище ""Ваня Войнова""",0424,Спортни-туристически дейности - помощник-инструктор АЕ/РЕ,321.25,321.25,0,321.25,321.25,0
120,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",0317,Медицинска техника - НЕ,319.5,319.5,0,319.5,319.5,0
121,2221093,"93-то Средно училище ""Александър Теодоров - Балан""",4038,"Софтуерни и хардуерни науки - РЕ интензивно, АЕ",318.75,319.5,318.75,347,347,326.25
122,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0505,"Сценичен костюм - АЕ, ИтЕ",318.75,0,318.75,321.75,0,321.75
123,2202002,"2 Средно училище ""Академик Емилиян Станев """,0957,"Хуманитарни науки - АЕ интензивно ИЕ, БЕЛ и ИЦ",317.5,0,317.5,317.5,0,317.5
124,2202002,"2 Средно училище ""Академик Емилиян Станев """,0951,Чужди езици - АЕ интензивно ИЕ,317.5,317.5,330.5,333.5,333.5,330.5
125,2223055,"55 СРЕДНО УЧИЛИЩЕ ""ПЕТКО КАРАВЕЛОВ""",2144,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",317,319,317,325,325,317
