"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
Към дата 19.07.2022 г.
",,,,,,,,,,
Забележка: Оцветените в зелено паралелки са с прием по квоти!!!,,,,,,,,,,
,,,,,,,,,,
№ по ред,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
71,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",3505,"Природни науки - БЗО ХООС НЕ интензивно, РЕ",386.75,386.75,408.5,468.25,468.25,451.75
72,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0788,"Електронна търговия - АЕ интензивно, НЕ",386,386,394.5,424.5,424.5,406
73,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1522,Хуманитарни науки - АЕ интензивно,385.5,387.5,385.5,409,391.75,409
74,2204134,"134. средно училище ""Димчо Дебелянов""",1952,Чужди езици - АЕ интензивно / Иврит,385,385,385.25,457.75,409,457.75
75,2216001,"1 Средно училище ""Пенчо П. Славейков""",1906,"Чужди езици - АЕ интензивно, ИЕ",385,393.75,385,416.25,396.25,416.25
76,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1296,"Рекламна графика - АЕ, ИтЕ",384.25,394.75,384.25,408.75,394.75,408.75
77,2222012,"12 Средно училище "" Цар Иван Асен II""",2209,Чужди езици - НЕ интензивно,383.75,383.75,384.25,448.75,407.25,448.75
78,2221031,"31 Средно училище за чужди езици и математика ""Иван Вазов""",3018,"Математически - АЕ интензивно, НЕ",382.5,383,382.5,417.5,413.5,417.5
79,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2270,"Чужди езици - ФЕ интензивно, РЕ",381.5,381.5,434.5,447,406,447
80,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0392,"Чужди езици - интензивно ФЕ, РЕ",381,381,421.5,442,406.5,442
81,2204018,"18 Средно училище ""Уилям Гладстон""",0902,Природни науки - АЕ интензивно,380.5,389,380.5,431.5,399,431.5
82,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2775,Чужди езици - АЕ интензивно / ФЕ,380,380,423.5,441,400.5,441
83,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0738,Системно програмиране - АЕ,379,379,388.75,429.25,429.25,388.75
84,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0762,Геодезия - АЕ,378.5,378.5,404.5,432.75,415.25,432.75
85,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2777,Чужди езици - АЕ интензивно /РЕ,378,378,405.5,425,398.5,425
86,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0779,"Бизнес администрация - ИЕ интензивно, АЕ",374.5,374.5,413.5,469.5,388.5,469.5
87,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2366,"Микропроцесорна техника - АЕ, НЕ",372.75,372.75,373,406,397.25,406
88,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0933,"Банково дело - ФЕ интензивно, АЕ",372,372,405.5,439.5,406,439.5
89,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2456,"Чужди езици - ЯЕ интензивно, АЕ",371.75,384,371.75,404,404,382.25
90,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1532,Чужди езици - РЕ интензивно,370.75,0,370.75,398.25,0,398.25
91,2204018,"18 Средно училище ""Уилям Гладстон""",1647,Чужди езици - КорЕ интензивно,370.5,370.5,371.5,395,384.5,395
92,2204018,"18 Средно училище ""Уилям Гладстон""",3931,Природни науки - ФЕ интензивно,368.5,371,368.5,421,387.5,421
93,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1526,Природни науки - АЕ интензивно,366,366,368,420,418,420
94,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2272,"Чужди езици - РЕ интензивно, АЕ",366,366,396.5,434,402,434
95,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0775,"Застрахователно и осигурително дело - НЕ интензивно, АЕ",366,366,378,422.5,422.5,403.5
