Свободни места за четвърти етап на класиране към 15:30 ч. на 03.08.2022 г.,,,,,,
№,Име,Код на паралелката,Име на паралелката,На общо основание,Младежи ,Девойки
115,"24 Средно училище ""П.К.Яворов""",2439,Предприемачески,3,-,-
116,"26 Средно училище ""Йордан Йовков""",0965,Софтуерни и хардуерни науки - АЕ интензивно,2,-,-
117,"27. Средно училище ""Акад. Георги Караславов""",2387,Софтуерни и хардуерни науки,7,-,-
118,"28 Средно училище ""Алеко Константинов""",0372,"Софтуерни и хардуерни науки - АЕ интензивно, ИЕ",5,-,-
119,"28 Средно училище ""Алеко Константинов""",0374,ФВС,8,,
120,"28 Средно училище ""Алеко Константинов""",3868,"Софтуерни и хардуерни науки - АЕ интензивно, НЕ",10,-,-
121,"29. Средно училище ""Кузман Шапкарев""",2408,Софтуерни и хардуерни науки - АЕ интензивно,0,-,-
122,"29. Средно училище ""Кузман Шапкарев""",3515,Софтуерни и хардуерни науки,0,-,-
123,"3. СУ ""Марин Дринов""",2913,Изобразително изкуство - РЕ,4,-,-
124,"3. СУ ""Марин Дринов""",2914,Графичен дизайн - АЕ,0,-,-
125,"3. СУ ""Марин Дринов""",4019,Фотография,0,-,-
126,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",1307,Чужди езици - ИЕ интензивно /АЕ,1,-,-
127,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",1308,Природни науки - ИЕ интензивно,0,-,-
128,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",2602,Икономическо развитие - АЕ интензивно,1,-,-
129,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2755,"Чужди езици - АЕ интензивно, ИЕ",2,-,-
130,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2759,"Чужди езици - НЕ интензивно, АЕ",0,-,-
131,"31 Средно училище за чужди езици и математика ""Иван Вазов""",2766,"Чужди езици - ИЕ интензивно, АЕ",0,-,-
132,"31 Средно училище за чужди езици и математика ""Иван Вазов""",3018,"Математически - АЕ интензивно, НЕ",0,-,-
133,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2771,Чужди езици - АЕ интензивно /НЕ,0,-,-
134,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2773,Чужди езици - АЕ интензивно / ИЕ,0,-,-
