№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
119.  ,"2221138  138 СУЗИЕ  ""Проф.В.Златарски""",2456  Чужди езици - ЯЕ интензивно   АЕ,379.75,410.75,без квоти
120.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2777  Чужди езици - АЕ интензивно  РЕ,378.5,389,младежи
121.  ,"2204032  32.СУИЧЕ ""Св. Климент Охридски",2775  Чужди езици - АЕ интензивно  ФЕ,377,390,младежи
122.  ,"2204134  134. СУ ""Д. Дебелянов""",1952  Чужди езици - АЕ интензивно Иврит,375.75,435.25,без квоти
123.  ,2224433  НТБГ,0779  Бизнес администрация - ИЕ интензивно  АЕ,375,424,младежи
124.  ,"2204018  18 СУ ""Уилям Гладстон""",1642  Чужди езици - КитЕ интензивно АЕ,375,415.5,без квоти
125.  ,2224433  НТБГ,0941  Електронна търговия - РЕ интензивно  АЕ,373.5,395,младежи
126.  ,2223431  ПГ по телекомуникации,0738  Системно програмиране - АЕ,372.5,433.25,без квоти
127.  ,2224433  НТБГ,0933  Банково дело - ФЕ интензивно  АЕ,372.5,402,младежи
128.  ,"2224432  ПГ по дизайн ""Елисавета Вазова""",1296  Рекламна графика - АЕ,368.75,397.25,без квоти
129.  ,"2211419  СГСАГ ""Христо Ботев""",0762  Геодезия - АЕ,367.75,420.5,без квоти
130.  ,"2224432  ПГ по дизайн ""Елисавета Вазова""",1290  Интериорен дизайн- НЕ,367.5,441.25,без квоти
131.  ,"2216001  1 СУ ""Пенчо П. Славейков""",1906  Чужди езици - АЕ интензивно ИЕ,367.25,431,без квоти
132.  ,"2216001  1 СУ ""Пенчо П. Славейков""",1831  Чужди езици - ИЕ интензивно АЕ,367.25,415,без квоти
133.  ,2211304  НПМГ,3305  Природни науки - НЕ БЗО ХООС,366.8,397.15,без квоти
134.  ,2223431  ПГ по телекомуникации,0743  Приложно програмиране - АЕ,366.5,431,без квоти
135.  ,"2205119  119 СУ ""Академик М. Арнаудов""",1532  Чужди езици - РЕ интензивно  АЕ/ФЕ,366.25,413.25,без квоти
136.  ,"2205407  СПГЕ  ""Джон Атанасов""",2366  Микропроцесорна техника - АЕ  НЕ,365.5,402.75,без квоти
137.  ,"2211419  СГСАГ ""Христо Ботев""",0772  Парково строителство и озеленяване - АЕ,364.5,407.25,без квоти
138.  ,"2222007  7. СУ  ""Свети Седмочисленици""","0359  Чужди езици - АЕ интензивно, ИЕ",363.5,430,без квоти
139.  ,"2205105  105. СУ ""Атанас Далчев""",2514  Чужди езици - ИтЕ интензивно  АЕ,362.5,431.5,без квоти
140.  ,"2221138  138 СУЗИЕ  ""Проф.В.Златарски""",2451  Чужди езици - КитЕ интензивно    АЕ,362.25,379,без квоти
141.  ,"2222007  7. СУ  ""Свети Седмочисленици""","0361  Софтуерни и хардуерни науки - АЕ интензивно, НЕ",362,402,без квоти
142.  ,"2222007  7. СУ  ""Свети Седмочисленици""",0360  Чужди езици - АЕ интензивно НЕ,361,396,без квоти
143.  ,2211420  НФСГ,2754  Икономика и мениджмънт - АЕ,360.5,391.5,без квоти
144.  ,"2216001  1 СУ ""Пенчо П. Славейков""",1900  Природни науки - Биология и здравно образование - ИЕ интнензивно   АЕ,356.25,383,без квоти
145.  ,2211420  НФСГ,3604  Икономика и мениджмънт - ИЕ,356,415,без квоти
146.  ,2211420  НФСГ,2749  Икономическа информатика - АЕ,354.5,453.5,без квоти
147.  ,2224433  НТБГ,0777  Оперативно счетоводство - РЕ интензивно  АЕ,354.5,411,младежи
148.  ,"2224432  ПГ по дизайн ""Елисавета Вазова""",1227  Моден дизайн - ФЕ,354.5,400.75,без квоти
149.  ,"2220308  ПГИИ ""Проф. Н. Райнов""",1572  Компютърна графика,353.5,386,без квоти
150.  ,"2216001  1 СУ ""Пенчо П. Славейков""",1907  Природни науки - Биология и здравно образование - АЕ интензивно  ИЕ,353,427.75,без квоти
151.  ,"2204030  30 СУ ""Братя Миладинови""",1307  Чужди езици - ИЕ интензивно  АЕ,350.5,407,без квоти
152.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1358  Хумантарни науки - АЕ интензивно  НЕ,349.5,390.5,без квоти
153.  ,"2204134  134. СУ ""Д. Дебелянов""",1961  Природни науки - АЕ интензивно   Иврит,348.5,439.5,без квоти
154.  ,2211420  НФСГ,2764  Икономика и мениджмънт - НЕ,348.5,431,без квоти
155.  ,"2222007  7. СУ  ""Свети Седмочисленици""","0363  Чужди езици - АЕ интензивно, ФЕ",348,418,без квоти
156.  ,"2205119  119 СУ ""Академик М. Арнаудов""",1526  Природни науки - АЕ интензивно  РЕ/ФЕ,347.5,422.5,без квоти
157.  ,2211420  НФСГ,2768  Икономика и мениджмънт - ФЕ,345,361,без квоти
158.  ,2211420  НФСГ,3603  Икономическа информатика - НЕ,342.5,391,без квоти
159.  ,"2202401  Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",3414  Технология на фармацевтичните и парфюмерийно-козметични продукти - НЕ   АЕ,342,342,без квоти
160.  ,"2205407  СПГЕ  ""Джон Атанасов""",2372  Промишлена електроника - АЕ  НЕ,341.5,437.5,без квоти
161.  ,"2222012  12 СУ ""Цар Иван Асен ІІ""",2215  Предприемачески - ФЕ интензивно  АЕ,340.5,389.5,без квоти
162.  ,2222127  127 СРЕДНО УЧИЛИЩЕ,1366  Предприемачески - АЕ интензивно  ИЕ,340,432,без квоти
