Свободни места за четвърти етап на класиране към 08:00 ч. на 02.08.2021 г.,,,,,,,
Училище,Код на паралелката,Име на паралелката,Тип,Брой паралелки,На общо основание,Младежи ,Девойки
"123 Средно училищe ""Стефан Стамболов"", ГР.СОФИЯ",3674,Логистика на товари и услуги /НЕ/,професионална,1,0,0,0
"135 средно училище ""Ян Амос Коменски"", ГР.СОФИЯ",2783,"Социална работа с деца и семейства в риск - АЕ, РЕ",професионална,1,7,0,0
"Софийска гимназия  по хлебни   и сладкарски технологии, ГР.СОФИЯ",0547,"Производство на хляб хлебни и сладкарски изделия - АЕ, НЕ",професионална,1,1,0,0
"Софийска гимназия  по хлебни   и сладкарски технологии, ГР.СОФИЯ",0563,"Декорация на сладкарски изделия - АЕ, НЕ",професионална,1,6,0,0
"Софийска гимназия  по хлебни   и сладкарски технологии, ГР.СОФИЯ",0568,"Производство на сладкарски изделия - АЕ (дуална), НЕ",професионална,1,7,0,0
"Софийска гимназия  по хлебни   и сладкарски технологии, ГР.СОФИЯ",0573,"Производство на хляб и хлебни изделия - АЕ (дуална), НЕ",професионална,1,17,0,0
"19 СРЕДНО УЧИЛИЩЕ  ""ЕЛИН ПЕЛИН"", ГР.СОФИЯ",3394,Предприемачески - НЕ интензивно НорвЕ,профилирана,1,0,0,0
"19 СРЕДНО УЧИЛИЩЕ  ""ЕЛИН ПЕЛИН"", ГР.СОФИЯ",3396,Предприемачески - НЕ интензивно ДатЕ,профилирана,1,0,0,0
"19 СРЕДНО УЧИЛИЩЕ  ""ЕЛИН ПЕЛИН"", ГР.СОФИЯ",3399,"Предприемачески - АЕ интензивно, НЕ/НорвЕ/ДатЕ",профилирана,1,0,0,0
"36 Средно училище  ""Максим Горки"", ГР.СОФИЯ",0778,"Чужди езици - ИтЕ интензивно, АЕ",профилирана,1,1,0,0
"36 Средно училище  ""Максим Горки"", ГР.СОФИЯ",0784,"Природни науки - АЕ интензивно, ИтЕ",профилирана,1,2,0,0
"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА"", ГР.СОФИЯ",2276,"Компютърна графика - АЕ интензивно, НЕ",професионална,1,0,0,0
"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА"", ГР.СОФИЯ",2289,"Софтуерни и хардуерни науки - АЕ интензивно, ИтЕ",профилирана,1,0,0,0
"51 СРЕДНО УЧИЛИЩЕ ""ЕЛИСАВЕТА БАГРЯНА"", ГР.СОФИЯ",2291,"Изобразително изкуство - АЕ интензивно, ИтЕ",профилирана,1,1,0,0
"132. Средно училище  ""Ваня Войнова"", ГР.СОФИЯ",0423,"Софтуерни и хардуерни науки - АЕ, РЕ",профилирана,1,1,0,0
"132. Средно училище  ""Ваня Войнова"", ГР.СОФИЯ",0424,"Спортни-туристически дейности - помощник-инструктор АЕ, РЕ",професионална,1,5,0,0
"132. Средно училище  ""Ваня Войнова"", ГР.СОФИЯ",3191,Физическо възпитание и спорт,профилирана,1,13,0,0
"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",2904,Чужди езици - АЕ интензивно  НЕ/РЕ,профилирана,1,3,0,0
"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",2907,Чужди езици - АЕ интензивно  ИЕ/РЕ,профилирана,1,0,0,0
"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",2909,Чужди езици - ИЕ интензивно  АЕ/НЕ,профилирана,1,1,0,0
"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",2910,"Предприемачески - АЕ интензивно, ИЕ/НЕ",профилирана,1,3,0,0
"203 Профилирана езикова гимназия ""Свети Методий"", ГР.СОФИЯ",3271,"Природни науки - АЕ интензивно, ИЕ/НЕ",профилирана,1,1,0,0
"85 Средно училище ""Отец Паисий"", ГР.СОФИЯ",1929,"Търговия на едро и дребно - АЕ, РЕ",професионална,1,8,0,0
"117. Средно училище  ""Свети свети Кирил и Методий"", ГР.БУХОВО",0975,Софтуерни и хардуерни науки,профилирана,1,2,0,0
"162 Обединено училище ""Отец Паисий"", ГР.СОФИЯ",2956,Предприемачески,профилирана,1,5,0,0
"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",0906,"Предприемачески - АЕ интензивно, ИЕ",профилирана,1,1,0,0
"21 СРЕДНО УЧИЛИЩЕ ""ХРИСТО БОТЕВ"", ГР.СОФИЯ",3676,"Предприемачески - ИЕ интензивно, АЕ",профилирана,1,0,0,0
"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ  ""ДОБРИ ВОЙНИКОВ"", ГР.СОФИЯ",0388,Чужди езици - НЕ интензивно РЕ БЕЛ,профилирана,1,0,0,0
"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ  ""ДОБРИ ВОЙНИКОВ"", ГР.СОФИЯ",0389,Чужди езици - НЕ интензивно РЕ М,профилирана,1,0,0,1
"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ  ""ДОБРИ ВОЙНИКОВ"", ГР.СОФИЯ",0390,Чужди езици - ФЕ интензивно РЕ БЗО,профилирана,1,0,0,0
"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ  ""ДОБРИ ВОЙНИКОВ"", ГР.СОФИЯ",0392,Чужди езици - ФЕ интензивно РЕ М,профилирана,1,0,0,1
