№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
292.  ,2217149  149 СУ,1060  Софтуерни и хардуерни науки - АЕ интензивно  РЕ,188.5,349.5,без квоти
293.  ,"2202401  Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909  Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ  НЕ,188,413.5,без квоти
294.  ,"2213010  10 СУ  ""Теодор Траянов""",2101  Обществени науки - АЕ  РЕ,188,355.75,без квоти
295.  ,"2206410  ПГАВТ  ""А.С.Попов""",3317  Охранителна техника и системи за сигурност - АЕ  НЕ,186,323,без квоти
296.  ,"2203140  140. СУ ""Иван Богоров""",1904  Графичен дизайн,184.5,402,без квоти
297.  ,"2209305  203 ПЕГ ""Св. Методий""",3271  Природни науки - АЕ интензивно  ИЕ/НЕ,182.5,377.25,без квоти
298.  ,"2202401  Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",3414  Технология на фармацевтичните и парфюмерийно-козметични продукти - НЕ   АЕ,180,386,без квоти
299.  ,"2206409  ПГТЕ ""Хенри Форд""",2362  Топлотехника - отоплителна климат. вентилационна и хладилна - АЕ (дуална)  РЕ/НЕ,180,323.5,без квоти
300.  ,"2205408  СПГ ""Княгиня Евдокия""",3381  Промишлен дизайн - АЕ  РЕ,176,413,без квоти
301.  ,"2212137  137 СУ ""Ангел Кънчев""",1844  Софтуерни и хардуерни науки - АЕ интензивно  НЕ,174,408.25,без квоти
302.  ,2206411  ПГХВТ,0448  Производство на захар и захарни изделия - АЕ  РЕ,173.5,373.5,без квоти
303.  ,2212097  97 СУ,2512  Търговия - АЕ (дуална) НЕ,169,340.5,без квоти
304.  ,"2220014  14 СУ ""Проф. д-р А. Златаров",1312  Обществени науки - АЕ  РЕ,163,388.75,без квоти
305.  ,"2207068  68 СУ ""Акад.Никола Обрешков""",2629  Софтуерни и хардуерни науки - АЕ  НЕ/РЕ,162,317,без квоти
306.  ,"2208028  28 СУ ""А. Константинов""",0372  Софтуерни и хардуерни науки - АЕ интензивно  ИЕ,158,318,без квоти
307.  ,"2202401  Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2591  Осигуряване на продуктова информация - НЕ (дуална)     АЕ,154,264,без квоти
308.  ,"2221430  ПГТ  ""МАКГАХАН""",2165  Автомобилна мехатроника - АЕ  РЕ,154,229.5,без квоти
309.  ,"2210085  85 СУ ""Отец Паисий""",1929  Търговия на едро и дребно - АЕ  РЕ,153.5,331,без квоти
310.  ,2206411  ПГХВТ,0455  Производсто и преработка на мляко и млечни продукти,153,250,без квоти
311.  ,"2212056  56.СУ ""Проф. К. Иречек""",3639  Предприемачески - НЕ интензивно  АЕ,152,358.5,без квоти
