"СПИСЪК НА ПАРАЛЕЛКИТЕ С ДЪРЖАВЕН ПЛАН-ПРИЕМ В VIII КЛАС ЗА УЧЕБНАТА 2021/ 2022 ГОДИНА В ОБЛАСТ СОФИЯ-ГРАД 
с кодове и балообразуване",,,,,,,,,,,
,,,,, ,,,,,,
№,Район,Код,Училище,Код на паралелката,Име на паралелката,Тип,Балообразуване,Брой паралелки,На общо основание,Младежи,Девойки
65,Изгрев,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2360,"Компютърни мрежи - АЕ, НЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
66,Изгрев,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2363,"Компютърна техника и технологии - АЕ, НЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),2,52,0,0
67,Изгрев,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2366,"Микропроцесорна техника - АЕ, НЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
68,Изгрев,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА  ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов"", ГР.СОФИЯ",2372,"Промишлена електроника - АЕ, НЕ",професионална,(1 * БЕЛ + 3 * МАТ) + (1 * М + 1 * ФА),1,26,0,0
69,Изгрев,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2837,"Съдебна администрация - АЕ, РЕ",професионална,(3 * БЕЛ + 1 * МАТ) + (1 * ИЦ + 1 * ЧЕз),1,26,0,0
70,Изгрев,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2840,"Икономическо информационно осигуряване - АЕ, РЕ",професионална,(2 * БЕЛ + 2 * МАТ) + (1 * ИТ + 1 * ЧЕз),1,26,0,0
71,Изгрев,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2842,"Извършване на термални процедури - АЕ (дуална), РЕ",професионална,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ЧЕз),1,26,0,0
72,Изгрев,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2843,Фризьорство,професионална,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ИИ),1,26,0,0
73,Изгрев,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2845,Козметика,професионална,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ИИ),1,26,0,0
74,Изгрев,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",2847,Маникюр педикюр и ноктопластика,професионална,(3 * БЕЛ + 1 * МАТ) + (1 * БЗО + 1 * ИИ),1,26,0,0
75,Изгрев,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",3381,"Промишлен дизайн - АЕ, РЕ",професионална,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ),1,26,0,0
76,Изгрев,2205408,"Софийска професионална гимназия  ""Княгиня Евдокия"", ГР.СОФИЯ",3382,"Индустриални отношения - АЕ, РЕ",професионална,(2 * БЕЛ + 2 * МАТ) + (1 * ГИ + 1 * ЧЕз),1,26,0,0
77,Илинден,2206003,"3. СУ  ""Марин Дринов"", ГР.СОФИЯ",2913,"Изобразително изкуство - РЕ, АЕ",профилирана,(1 * БЕЛ + 1 * МАТ + 2 * ИИ) + (1 * ИИ + 1 * ИТ),1,26,0,0
78,Илинден,2206003,"3. СУ  ""Марин Дринов"", ГР.СОФИЯ",2914,"Графичен дизайн - АЕ, РЕ",професионална,(3 * БЕЛ + 1 * МАТ) + (1 * ИИ + 1 * ИТ),1,26,0,0
