№ по ред,Училище,Паралелка,Минимален бал,Максимален бал,Пол
244.  ,"2206113  113 СУ ""Сава Филаретов""",1676  Продавач-консултант /АЕ/,157,166,без квоти
245.  ,"2201400  Професионална гимназия по туризъм ""Алеко Константинов""",0358  Кетъринг - АЕ,156,208.5,без квоти
246.  ,"2214101  101 СУ ""БАЧО КИРО""",3656  Търговия на едро и дребно  - АЕ  НЕ,154,227,без квоти
247.  ,2212090  90 СУ,1390  Природни науки - АЕ  ИЕ,153.25,209,без квоти
248.  ,2207412  ПГ ПО ТРАНСПОРТ,1677  Автомобилна мехатроника - АЕ,147,176,без квоти
249.  ,"2218071  71 СУ ""П.Яворов""",1725  Икономическо развитие,143,296.5,без квоти
250.  ,2204311  ПГИИРЕ,2934  Чужди езици - РумЕ интензивно АЕ,141.5,311.5,без квоти
251.  ,"2217151  Национално СУ  ""София""",2687  Природни науки - АЕ  РЕ,141,290,без квоти
252.  ,"2217088  88 СУ ""Д.  Попниколов""",1356  Туристическа анимация - АЕ интензивно  ИЕ/РЕ,141,270.5,без квоти
253.  ,2217424  ПГЕА,2138  Приложно програмиране - АЕ  НЕ/РЕ,140.75,262,без квоти
254.  ,2208413  СГХСТ,0568  Производство на сладкарски изделия - АЕ (дуална)  НЕ,137.5,252,без квоти
255.  ,"2201078  78. СУ ""Христо Смирненски""",0463  Извършване на термални процедури - АЕ  НЕ,136,294.5,без квоти
256.  ,"2213144  144 СУ ""Народни будители""",1118  Музика - АЕ  РЕ/ИЕ,135,135,без квоти
257.  ,"2221094  94 СУ ""Д.Страшимиров""",2539  Логистика на товари и услуги,126,149,без квоти
258.  ,"2210162  162 ОбУ ""Отец Паисий""",2956  Предприемачески,126,126,без квоти
259.  ,2216422  ПГМЕ,2193  Промишлена електроника - АЕ  НЕ,124,254,без квоти
260.  ,"2212056  56.СУ ""Проф. К. Иречек""",3639  Предприемачески - НЕ интензивно  АЕ,122,358.5,без квоти
261.  ,"2221430  ПГТ  ""МАКГАХАН""",2187  Спедиция транспортна и складова логистика - АЕ (дневна)  НЕ,121,243,без квоти
262.  ,"2221094  94 СУ ""Д.Страшимиров""",2525  Предприемачески,120,240,без квоти
263.  ,2207412  ПГ ПО ТРАНСПОРТ,1656  Митническа и данъчна администрация - АЕ,120,227.5,без квоти
264.  ,"2213131  131 СУ ""К.А.Тимирязев""",2454  Предприемачески,119,237,без квоти
265.  ,2208413  СГХСТ,0573  Производство на хляб и хлебни изделия - АЕ (дуална)  НЕ,118,118,без квоти
266.  ,2216422  ПГМЕ,2177  Електрообзавеждане на производството - електромонтьор,114,198,без квоти
267.  ,2217424  ПГЕА,2123  Компютърна техника и технологии - АЕ  НЕ/РЕ,112.5,253.25,без квоти
268.  ,"2221430  ПГТ  ""МАКГАХАН""",3500  Автотранспортна техника - техник АЕ (дневна)  РЕ,111,111,без квоти
269.  ,"2201400  Професионална гимназия по туризъм ""Алеко Константинов""",0355  Производство и обслужване в заведенията за хранене и развлечения - АЕ,107,236,без квоти
270.  ,"2221430  ПГТ  ""МАКГАХАН""",2212  Спедиция транспортна и складова логистика - АЕ (дуална)  НЕ,107,107,без квоти
271.  ,"2208123  123 СУ ""Стефан Стамболов",3674  Логистика на товари и услуги /НЕ/,100,384,без квоти
272.  ,2219095  95 СУ,2459  Природни науки - АЕ интензивно  РЕ,100,271,без квоти
273.  ,2216422  ПГМЕ,2173  Металообработващи машини,99,200,без квоти
274.  ,2217424  ПГЕА,2133  Системно програмиране - АЕ  НЕ/РЕ,98.25,211,без квоти
275.  ,"2221430  ПГТ  ""МАКГАХАН""",2178  Ремонт на летателни апарати - АЕ  РЕ,98,220,без квоти
276.  ,"2208123  123 СУ ""Стефан Стамболов",0631  Логистика на товари и услуги /АЕ/,98,108,без квоти
277.  ,"2202401  Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",0909  Технологичен и микробиологичен контрол в химични производства - лаборант - АЕ  НЕ,98,98,без квоти
278.  ,"2219024  24 СУ ""П. К. Яворов """,2439  Предприемачески,98,98,без квоти
279.  ,2207412  ПГ ПО ТРАНСПОРТ,1684  Автотранспортна техника - монтьор,97,145,без квоти
280.  ,"2219130  130 СУ ""Стефан Караджа""",3506  Икономическо развитие - АЕ  НЕ,93,214.5,без квоти
281.  ,"2202401  Професионална гимназия по екология и биотехнологии ""Проф. д-р Асен Златаров""",2591  Осигуряване на продуктова информация - НЕ (дуална)     АЕ,92,131,без квоти
282.  ,2217424  ПГЕА,2115  Компютърни мрежи - АЕ  НЕ/РЕ,91.5,203,без квоти
283.  ,2208413  СГХСТ,0547  Производство на хляб хлебни и сладкарски изделия - АЕ  НЕ,91,220,без квоти
284.  ,"2206409  ПГТЕ ""Хенри Форд""",2343  Електрообзавеждане на ел. превозни средства за гр. транспорт (дуална),87,227,без квоти
