"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
към дата 14.07.2025 г.",,,,,,,,,,
Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,,
,,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
105,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1296,Рекламна графика - АЕ,400.5,400.5,436.75,459.5,426.5,459.5
106,2204018,"18 Средно училище ""Уилям Гладстон""",1647,"Чужди езици - КитЕ интензивно, АЕ",398,400.5,398,449,439.5,449
107,2204018,"18 Средно училище ""Уилям Гладстон""",0905,"Природни науки - ФЕ интензивно, АЕ; БЗО и ХООС",397,397,397,439.5,434,439.5
108,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2749,Икономическа информатика - АЕ,396,396.5,396,447.5,417.5,447.5
109,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",3148,"Предприемачески - ИЕ интензивно, АЕ",395.5,397,395.5,442.5,417.5,442.5
110,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1364,"Природни науки - АЕ интензивно, ИЕ",395.5,395.5,398,431.5,417.5,431.5
111,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2764,Икономика и мениджмънт - НЕ,395.5,395.5,396,440,440,419.5
112,2204134,"134. средно училище ""Димчо Дебелянов""",1952,"Чужди езици - АЕ интензивно, Иврит",394.5,401,394.5,462.75,420,462.75
113,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2456,"Чужди езици - ЯЕ интензивно, АЕ",394.25,396.5,394.25,448,421.25,448
114,2216001,"1 Средно училище ""Пенчо П. Славейков""",4407,"Икономическо развитие - АЕ разширено, ГИ",394.25,400.75,394.25,438.5,423,438.5
115,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",1307,"Чужди езици - ИЕ интензивно, АЕ",394,394.5,394,418,418,415
116,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2272,"Чужди езици - РЕ интензивно, АЕ",393,393,422,462.5,462.5,452.5
117,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1365,"Природни науки - ИЕ интензивно, АЕ",392,402,392,429,413.5,429
118,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0360,"Икономическо развитие - АЕ интензивно, НЕ",391.5,392,391.5,417.5,417,417.5
119,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1532,Чужди езици - РЕ интензивно,391,394.5,391,439.25,413.5,439.25
120,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0777,"Оперативно счетоводство - РЕ интензивно, АЕ",390,395,390,448,448,408
121,2211419,"СОФИЙСКА ГИМНАЗИЯ ПО СТРОИТЕЛСТВО, АРХИТЕКТУРА И ГЕОДЕЗИЯ ""ХРИСТО БОТЕВ""",0838,Брокер недвижими имоти - АЕ,389.5,391.25,389.5,429,427.75,429
122,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1366,"Икономическо развитие - АЕ разширено, ИЕ",388.5,389,388.5,422,412.5,422
123,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",4450,"Природни науки - БЗО, ХООС, АЕ интензивно, НЕ",388,388,388.5,433.5,433.5,425.5
124,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",3955,Програмиране на изкуствен интелект - АЕ,388,388,390,452.5,452.5,423.5
125,2202002,"2 Средно училище ""Академик Емилиян Станев """,0957,"Предприемачески -АЕ интензивно, ИЕ, Предприемачество и ГИ",387.25,387.25,387.5,444.5,444.5,429.75
126,2202002,"2 Средно училище ""Академик Емилиян Станев """,0958,"Хуманитарни науки - АЕ интензивно, ИЕ, БЕЛ и ИЦ",385,385,385.75,447.25,407.5,447.25
127,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,4717,Икономика и мениджмънт - ФЕ,383.5,383.5,384,416,407.5,416
128,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3603,Икономическа информатика - НЕ,382.5,382.5,382.5,425.5,425.5,387.5
129,2213125,"125 СУ ""Боян Пенев"" с изучаване на чужди езици",1546,Хуманитарни науки - АЕ интензивно,381.75,382,381.75,433.5,433.5,425
130,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,4388,Оперативно счетоводство - АЕ,381.5,381.5,382.5,455.5,420.5,455.5
131,2220308,"Профилирана гимназия за изобразителни изкуства ""Професор Николай Райнов""",1572,Компютърна графика,381.25,384.5,381.25,471.25,471.25,467
132,2221023,"23 Средно училище ""Фредерик Жолио-Кюри""",0916,"Чужди езици - ИтЕ интензивно, АЕ",381,381,381.5,445.5,405,445.5
133,2211417,"Професионална гимназия по облекло ""Княгиня Мария Луиза""",0462,"Моден дизайн - ИтЕ, АЕ",378.75,392.75,378.75,427.75,392.75,427.75
134,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",4079,Икономическо развитие - АЕ интензивно,378.5,381.5,378.5,449,406,449
135,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1526,Природни науки - АЕ интензивно,378,382,378,429,421.5,429
136,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",4814,"Природни науки - БЗО, ХООС, АЕ интензивно, ФЕ",376.5,380,376.5,427,409.5,427
137,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",1308,"Природни науки - ИЕ интензивно, АЕ",374,374,375.5,458,458,392.5
138,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2451,"Чужди езици - КитЕ интензивно, АЕ",373.5,374.5,373.5,441.25,385.75,441.25
139,2222012,"12 Средно училище "" Цар Иван Асен II""",4446,"Предприемачески - АЕ интензивно, НЕ",373,373,373,403,403,397.5
140,2204134,"134. средно училище ""Димчо Дебелянов""",1961,"Природни науки - АЕ интензивно, Иврит",373,373.5,373,446,396.5,446
141,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2543,"Екскурзоводско обслужване - ИтЕ интензивно, АЕ",371,371,393.5,433.5,398.25,433.5
142,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",1354,"Математически - АЕ интензивно, ИЕ",369.5,369.5,372.5,445,445,415.5
143,2223431,ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ТЕЛЕКОМУНИКАЦИИ,0738,Системно програмиране - АЕ,368.75,368.75,388.75,430,430,388.75
