"СПРАВКА
за минималния и максималния бал по паралелки
в РУО СОФИЯ-ГРАД
към дата 21.07.2025 г.",,,,,,,,,,
,Забележка: Оцветените в синьо паралелки са с прием по квоти!!!,,,,,,,,,
№,Училище,,Паралелка,,Минимален бал,,,Максимален бал,,
,Код,Име,Код,Име,Общо,Мъже,Жени,Общо,Мъже,Жени
,,,,,,,,,,
92,2204032,"32. СРЕДНО УЧИЛИЩЕ С ИЗУЧАВАНЕ НА ЧУЖДИ ЕЗИЦИ ""СВЕТИ КЛИМЕНТ ОХРИДСКИ""",2777,"Хуманитарни науки - АЕ интензивно, РЕ; БЕЛ и ИЦ",401,401,418,447,412,447
93,2204018,"18 Средно училище ""Уилям Гладстон""",0902,"Природни науки - НЕ интензивно, АЕ; БЗО и ХООС",400.5,403.5,400.5,425.5,411,425.5
94,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0775,"Застрахователно и осигурително дело - AE интензивно, ИЕ",400.5,400.5,402.5,421.5,414,421.5
95,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2754,Икономика и мениджмънт - АЕ,400,400,423.5,446,413,446
96,2211035,"35. СРЕДНО ЕЗИКОВО УЧИЛИЩЕ ""ДОБРИ ВОЙНИКОВ""",0392,"Природни науки - интензивно ФЕ, РЕ",399,399,425,450,419,450
97,2216001,"1 Средно училище ""Пенчо П. Славейков""",4880,"Маркетингови проучвания - АЕ интензивно, ИЕ",397,400.75,397,428.5,403.25,428.5
98,2205105,"105. СРЕДНО УЧИЛИЩЕ ""АТАНАС ДАЛЧЕВ""",2514,"Чужди езици - ИтЕ интензивно, АЕ",396.25,396.25,413.25,459.5,404.5,459.5
99,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",4401,"Обществени науки - ИЕ разширено, АЕ",396,396,396.25,415.75,409.75,415.75
100,2224432,"Професионална гимназия по дизайн ""Елисавета Вазова""",1296,Рекламна графика - АЕ,395.75,395.75,434.5,439.5,403.5,439.5
101,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0941,"Електронна търговия - РЕ интензивно, АЕ",395.5,395.5,399.5,416,416,411
102,2224433,НАЦИОНАЛНА ТЪРГОВСКО - БАНКОВА ГИМНАЗИЯ,0933,"Банково дело - ФЕ интензивно, АЕ",395,395,403,422,410,422
103,2205407,"СОФИЙСКА ПРОФЕСИОНАЛНА ГИМНАЗИЯ по ЕЛЕКТРОНИКА ""Джон Атанасов""",2372,"Промишлена електроника - АЕ, НЕ",395,395,0,444,444,0
104,2204134,"134. средно училище ""Димчо Дебелянов""",1952,"Чужди езици - АЕ интензивно, Иврит",394,402.25,394,462.75,420,462.75
105,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3604,Икономика и мениджмънт - ИЕ,394,394,394,455.5,402,455.5
106,2205119,"119 Средно училище ""Академик Михаил Арнаудов""",1522,Хуманитарни науки - АЕ интензивно,393,395.75,393,421,421,416.5
107,2204018,"18 Средно училище ""Уилям Гладстон""",0905,"Природни науки - ФЕ интензивно, АЕ; БЗО и ХООС",389.5,389.5,390,437.5,398.5,437.5
108,2221138,"138. СРЕДНО УЧИЛИЩЕ ЗА ЗАПАДНИ И ИЗТОЧНИ ЕЗИЦИ ""ПРОФ. ВАСИЛ ЗЛАТАРСКИ""",2456,"Чужди езици - ЯЕ интензивно, АЕ",388.75,388.75,390.25,448,409.5,448
109,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2764,Икономика и мениджмънт - НЕ,388.5,388.5,396.5,414.5,414.5,405.5
110,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,2749,Икономическа информатика - АЕ,388,388.5,388,447.5,409,447.5
111,2216001,"1 Средно училище ""Пенчо П. Славейков""",4407,"Икономическо развитие - АЕ разширено, ГИ",387.25,387.75,387.25,423,423,420.25
112,2204030,"30 СРЕДНО УЧИЛИЩЕ ""БРАТЯ МИЛАДИНОВИ""",1307,"Чужди езици - ИЕ интензивно, АЕ",387,387,388.5,418,418,411.5
113,2222133,133 Средно училище „Александър Сергеевич Пушкин”,2272,"Чужди езици - РЕ интензивно, АЕ",386.5,386.5,411.5,448,436.5,448
114,2202002,"2 Средно училище ""Академик Емилиян Станев """,0957,"Предприемачески -АЕ интензивно, ИЕ, Предприемачество и ГИ",385.75,386,385.75,428.75,428.75,393.5
115,2204402,"НАЦИОНАЛНА ПРОФЕСИОНАЛНА ГИМНАЗИЯ ПО ПРЕЦИЗНА ТЕХНИКА И ОПТИКА ""М. В. Ломоносов""",3955,Програмиране на изкуствен интелект - АЕ,384.5,384.5,404,441.5,441.5,414
116,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",1364,"Природни науки - АЕ интензивно, ИЕ",383.5,384,383.5,421,409,421
117,2222127,"127 СРЕДНО УЧИЛИЩЕ ""Иван Николаевич Денкоглу""",3148,"Предприемачески - ИЕ интензивно, АЕ",383,385,383,442.5,401,442.5
118,2222007,"7. СРЕДНО УЧИЛИЩЕ ""СВ. СЕДМОЧИСЛЕНИЦИ""",0360,"Икономическо развитие - АЕ интензивно, НЕ",381.5,381.5,382,402.5,402.5,395.5
119,2204018,"18 Средно училище ""Уилям Гладстон""",1647,"Чужди езици - КитЕ интензивно, АЕ",379.5,389,379.5,420,420,407.5
120,2211420,НАЦИОНАЛНА ФИНАНСОВО-СТОПАНСКА ГИМНАЗИЯ,3603,Икономическа информатика - НЕ,378,378,381,385.5,382.5,385.5
